twonames,strata,treat,voted2006,voted2004,voted2002,voted2000,voted1998,voted1996,age,regyear,voted2008,pid7,interest,votein2000,vote2000bush,vote2000gore,econretro,unemployment,bushapp,congapp,pt_gotmail,pt_gotphone,pt_gotface,pt_gotmoney,pt_gotad,pt_persuadeothers,pt_soughtinfo,pt_interest,pt_pid7,pt_votein2000,pt_vote2000bush,pt_vote2000gore,pt_novvote,pt_stayiniraq,pt_taxrich,pt_evalreagan,pt_evalcarter,pt_evaldem,pt_evalrep,pt_econretro,pt_postunemployperf,pt_bushapp,pt_congapp,pt_campaigndonation,pt_educ,pt_black,pt_hispanic,pt_church,pt_yob,pt_female,townshowsnoturnoutinvoterfile,R_persondead,R_movedpre,R_movedpost,R_badmailadddress,R_anybad,R_STRATACOAFILTER,SD_2,SD_3,SD_4,SD_5,SD_6,SD_7,SD_8,SD_9,SDA_1,SDA_2,SDA_3,SDA_5,SDA_6,SDA_7,stratactr,altstrata,SI_2,SI_3,SI_4,SI_5,SI_6,SI_7,SI_8,SI_9,STI_1,STI_2,STI_3,STI_4,STI_5,STI_6,STI_7,STI_8,STI_9,post_unif,post_affil,post_dem,post_rep,post_DUR,vffemale,vfgendermissing,age2,twophones,regyearmissing,combined_female
1,16,0,1,1,1,1,0,0,48,2007,0,6,2,1,1,0,-1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,8,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2304,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13,1,1,1,1,1,0,0,39,1998,0,3,1,1,0,1,-1,-1,-2,0,1,1,0,0,1,0,1,2,3,1,0,0,1,-1,1,2,1,1,1,-1,-1,-1,1,1,5,0,0,0.5,1968,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1521,1,0,1
0,13,1,0,1,0,0,0,0,27,2004,0,3,2,0,0,0,-1,0,-2,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,729,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14,1,1,0,0,0,0,0,28,1998,0,4,1,0,0,0,-2,-2,-2,0,0,0,0,0,1,0,0,1,4,0,0,0,0,-2,-2,2,2,0,0,-1,-1,0,0,1,2,0,0,0.75,1980,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,784,0,0,0
0,14,1,1,1,1,1,0,0,45,1990,0,4,2,1,0,1,-2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,2025,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14,1,0,1,0,0,0,1,44,1988,0,4,1,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1936,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,15,0,1,1,0,0,0,0,33,1999,0,5,1,1,1,0,0,0,1,-2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,7,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1089,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14,0,1,1,0,0,0,0,36,2004,0,4,1,1,0,0,-1,-1,-2,-2,0,0,1,0,1,1,1,2,3,1,0,0,1,-2,2,-2,-1,0,-2,-1,-2,-2,-2,1,1,1,0,1971,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1296,0,0,0,
0,11,0,1,1,0,0,0,0,29,2004,0,1,2,1,0,1,-2,-1,-2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,841,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,13,0,0,1,0,0,0,0,44,1999,0,3,2,1,0,1,1,0,-2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1936,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
