"id","finisheddate","party","elected","occupation","redevelop_con","republican","democrat","election_partisan","success","failure","diffussion_interested","formofgovernment","townmeetingbasedpolicy"
"R_3xbDIn5mgKM28zX","8/15/12 23:43",2,,,,0,1,,,,,4,0
"R_4IuAzk0TEHLyp6J","8/14/12 12:01",2,3,2,1,0,1,1,1,0,1,4,0
"R_8xgaf195EnfueBT","7/25/12 9:26",3,2,1,1,0,0,0,,,,7,1
"R_3CSJ8uBdA1vSReJ","7/25/12 10:55",1,2,-99,1,1,0,0,0,1,1,,
"R_3Dw5yjDiowlLVKB","8/6/12 16:36",2,2,2,0,0,1,0,1,0,1,6,0
"R_8hMkh6rX8afSttb","8/9/12 11:28",2,2,2,0,0,1,0,0,1,0,5,0
"R_bCRQfhHeTdjv5eR","7/30/12 16:39",,,,,,,,,,,4,0
"R_3sKREwMzIHnrJLT","7/26/12 12:00",5,2,2,1,0,0,0,0,1,1,7,1
"R_24ZV4lKxW2BQU73","7/28/12 14:03",,,,,,,,,,,4,0
"R_3yqPJEfZ4GcX4wd","8/6/12 12:40",,2,2,1,,,0,,,,5,0
"R_8G5quHtDmRVWyP3","8/6/12 9:07",1,3,2,0,1,0,1,0,1,1,,
"R_43grhk8BjRkyO1L","7/25/12 10:47",1,2,2,1,1,0,0,,,,5,0
"R_0Dpsil5Uto17rqR","8/6/12 16:25",,,,,,,,,,,4,0
"R_9WuZIItuuKbVjJH","8/7/12 17:16",1,2,2,1,1,0,0,1,0,1,5,0
"R_bJhNQ2IaAPRAic5","7/25/12 12:29",2,3,2,1,0,1,1,0,1,0,4,0
"R_3wIxCgxGluUeYHr","8/13/12 1:47",3,2,2,1,0,0,0,0,1,1,4,0
"R_0ik8R73Xgy1OPit","8/18/12 15:02",2,2,2,0,0,1,0,1,0,0,,
"R_74lJPCpeYeMU3Ln","7/26/12 8:17",1,,,,1,0,,,,,,
"R_b3Yj8lVbLpiZKAZ","7/25/12 9:47",3,2,2,1,0,0,0,1,0,1,4,0
"R_4G8ovfrPJFm55NX","7/25/12 10:37",,-99,-99,,,,,,,,5,0
"R_6P4wnga3w49HJBz","7/25/12 9:36",1,2,2,1,1,0,0,0,1,0,4,0
"R_6PsVjBzbf4ijIxf","8/6/12 12:23",1,3,2,1,1,0,1,0,1,0,5,1
