"time_watching_hardball","choice","control","lib","con","counteratt","proatt","forcedmod","hostilemedia"
284.140014648438,1,0,0,0,0,0,0,-0.812527060508728
52.0699996948242,1,0,0,0,0,0,0,0.831522524356842
61.0099983215332,1,0,0,0,0,0,0,0.831522524356842
54.0299987792969,1,0,1,0,0,0,0,0.831522524356842
88.0400009155273,1,0,1,0,0,0,0,-1.00414621829987
74.0599975585938,1,0,0,1,0,0,0,0.831522524356842
51.0800018310547,1,0,0,0,0,0,0,0.302555799484253
489.049987792969,1,0,1,0,0,0,0,-1.92758500576019
116.089996337891,1,0,0,0,0,0,0,0.831522524356842
2.00999999046326,1,0,0,0,0,0,0,-0.0919163599610329
49.0200004577637,1,0,1,0,0,0,0,0.831522524356842
0,1,0,0,0,0,0,0,-1.00414621829987
34.0099983215332,1,0,1,0,0,0,0,0.831522524356842
787,1,0,0,1,0,0,0,-0.0919163599610329
316,1,0,1,0,0,0,0,0.831522524356842
642.010009765625,1,0,1,0,0,0,0,-1.39861834049225
360.019989013672,1,0,1,0,0,0,0,-0.609674036502838
307.399993896484,1,0,1,0,0,0,0,-1.00414621829987
846.039978027344,1,0,0,1,0,0,0,-0.678007662296295
,1,0,0,0,0,0,0,-2.513676404953
879.010009765625,1,0,1,0,0,0,0,-0.0919163599610329
45.0800018310547,1,0,1,0,0,0,0,
601.080017089844,1,0,1,0,0,0,0,0.505383968353271
6.09999990463257,1,0,0,1,0,0,0,-0.080707348883152
863.030029296875,1,0,0,1,0,0,0,0.831522524356842
631.559997558594,1,0,0,0,0,0,0,0.831522524356842
225.009994506836,1,0,1,0,0,0,0,-1.00414621829987
,1,0,0,0,0,0,0,0.831522524356842
0,1,0,0,1,0,0,0,0.302555799484253
688.299987792969,1,0,0,0,0,0,0,0.831522524356842
8.06999969482422,1,0,0,0,0,0,0,-1.92758500576019
420.070007324219,1,0,0,0,0,0,0,0.831522524356842
213.059997558594,1,0,1,0,0,0,0,-0.678007662296295
494.799987792969,1,0,0,0,0,0,0,-0.0919163599610329
248.020004272461,1,0,0,0,0,0,0,0.831522524356842
896,1,0,0,0,0,0,0,0.831522524356842
662.030029296875,1,0,0,0,0,0,0,-0.023582773283124
,1,0,0,0,0,0,0,-1.00414621829987
,1,0,1,0,0,0,0,0.110911794006824
,1,0,1,0,0,0,0,0.831522524356842
,1,0,0,0,0,0,0,0.831522524356842
255.009994506836,1,0,0,1,0,0,0,0.505383968353271
0,1,0,1,0,0,0,0,0.831522524356842
8,1,0,0,0,0,0,0,0.831522524356842
871.030029296875,1,0,1,0,0,0,0,0.831522524356842
0,1,0,1,0,0,0,0,-1.00414621829987
310.070007324219,1,0,0,0,0,0,0,-0.678007662296295
394.010009765625,1,0,0,1,0,0,0,-1.00414621829987
0,1,0,1,0,0,0,0,0.831522524356842
0,1,0,1,0,0,0,0,0.831522524356842
813.090026855469,1,0,0,0,0,0,0,-1.00414621829987
15.0900001525879,1,0,1,0,0,0,0,-1.00414621829987
126.089996337891,1,0,1,0,0,0,0,0.831522524356842
660.090026855469,1,0,0,0,0,0,0,-0.0919163599610329
223.899993896484,1,0,0,0,0,0,0,0.831522524356842
0,1,0,1,0,0,0,0,0.831522524356842
1,1,0,0,0,0,0,0,0.831522524356842
240,1,0,1,0,0,0,0,0.505383968353271
101.059997558594,1,0,1,0,0,0,0,0.245431199669838
3.01999998092651,1,0,1,0,0,0,0,0.437050342559814
38.0699996948242,1,0,1,0,0,0,0,0.831522524356842
23.0300006866455,1,0,0,0,0,0,0,-0.678007662296295
900,1,0,0,0,0,0,0,0.505383968353271
96.0100021362305,1,0,0,0,0,0,0,-0.0919163599610329
951.049987792969,1,0,0,0,0,0,0,-1.00414621829987
878.039978027344,1,0,0,0,0,0,0,-1.07247984409332
12.039999961853,1,0,0,0,0,0,0,0.831522524356842
0,1,0,1,0,0,0,0,0.831522524356842
543.070007324219,1,0,0,0,0,0,0,-2.83981490135193
0,1,0,0,0,0,0,0,0.831522524356842
0,1,0,0,0,0,0,0,-0.678007662296295
61.060001373291,1,0,1,0,0,0,0,-0.0919163599610329
16.2999992370605,1,0,0,1,0,0,0,-1.00414621829987
628,1,0,1,0,0,0,0,-0.678007662296295
0,1,0,1,0,0,0,0,-1.00414621829987
144.070007324219,1,0,0,1,0,0,0,-0.418054908514023
0,1,0,0,0,0,0,0,-0.0919163599610329
0,1,0,1,0,0,0,0,0.831522524356842
360.089996337891,1,0,1,0,0,0,0,0.110911794006824
,0,1,1,0,0,0,0,0.831522524356842
,0,1,1,0,0,0,0,-0.609674036502838
,0,1,0,0,0,0,0,0.302555799484253
,0,1,1,0,0,0,0,0.831522524356842
,0,1,0,0,0,0,0,0.831522524356842
,0,1,0,1,0,0,0,-1.00414621829987
,0,1,1,0,0,0,0,-1.00414621829987
,0,1,0,0,0,0,0,-2.83981490135193
,0,1,1,0,0,0,0,-0.609674036502838
,0,1,0,0,0,0,0,-1.00414621829987
,0,1,0,1,0,0,0,-1.00414621829987
,0,1,1,0,0,0,0,-1.01535522937775
,0,1,1,0,0,0,0,-0.28353551030159
,0,1,0,0,0,0,0,0.831522524356842
,0,1,1,0,0,0,0,0.437050342559814
,0,1,0,0,0,0,0,0.831522524356842
,0,1,1,0,0,0,0,0.831522524356842
,0,1,0,0,0,0,0,0.831522524356842
,0,1,1,0,0,0,0,-0.0919163599610329
,0,1,0,0,0,0,0,0.831522524356842
,0,1,1,0,0,0,0,0.831522524356842
,0,1,1,0,0,0,0,-0.0919163599610329
,0,1,1,0,0,0,0,0.831522524356842
,0,0,1,0,0,1,0,-1.00414621829987
,0,0,1,0,0,1,0,-1.00414621829987
49.0499992370605,0,0,0,0,0,0,1,-1.00414621829987
,0,0,1,0,0,1,0,-0.0919163599610329
,0,0,1,0,0,1,0,-0.28353551030159
,0,0,0,0,0,0,1,0.831522524356842
,0,0,1,0,0,1,0,0.302555799484253
,0,0,1,0,0,1,0,-1.00414621829987
,0,0,0,0,0,0,1,-0.0919163599610329
,0,0,1,0,0,1,0,-0.0919163599610329
,0,0,1,0,0,1,0,-1.20697438716888
,0,0,0,0,0,0,1,0.831522524356842
,0,0,0,0,0,0,1,0.110911794006824
,0,0,0,1,1,0,0,0.831522524356842
,0,0,1,0,0,1,0,0.505383968353271
,0,0,1,0,0,1,0,-1.00414621829987
,0,0,1,0,0,1,0,0.831522524356842
3.82999992370605,0,0,0,0,0,0,1,0.831522524356842
,0,0,0,0,0,0,1,0.831522524356842
,0,0,1,0,0,1,0,-0.023582773283124
,0,0,1,0,0,1,0,-1.33028471469879
,0,0,0,1,1,0,0,0.831522524356842
,0,0,1,0,0,1,0,0.831522524356842
,0,0,1,0,0,1,0,0.831522524356842
,0,0,1,0,0,1,0,0.831522524356842
,0,0,0,0,0,0,1,0.831522524356842
,0,0,0,0,0,0,1,0.831522524356842
,0,0,1,0,0,1,0,-1.00414621829987
,0,0,0,1,1,0,0,0.831522524356842
,0,0,1,0,0,1,0,-0.620883047580719
,0,0,1,0,0,1,0,0.831522524356842
,0,0,0,0,0,0,1,0.831522524356842
,0,0,1,0,0,1,0,0.831522524356842
,0,0,0,1,1,0,0,0.831522524356842
,0,0,1,0,0,1,0,-1.00414621829987
,0,0,1,0,0,1,0,0.831522524356842
,0,0,0,0,0,0,1,-2.513676404953
,0,0,0,0,0,0,1,0.831522524356842
,0,0,1,0,0,1,0,-2.83981490135193
,0,0,1,0,0,1,0,-1.00414621829987
