"time_watching_hardball","choice","control","lib","con","counteratt","proatt","forcedmod","hostilemedia"
,0,0,0,0,0,0,1,-0.0919163599610329
,0,0,0,0,0,0,1,-1.00414621829987
,0,0,1,0,0,1,0,0.245431199669838
,0,1,1,0,0,0,0,-1.00414621829987
,0,1,1,0,0,0,0,0.831522524356842
,0,1,0,0,0,0,0,0.302555799484253
,0,1,0,0,0,0,0,0.831522524356842
,0,1,1,0,0,0,0,-0.609674036502838
,0,1,1,0,0,0,0,-0.0919163599610329
,0,1,0,1,0,0,0,0.831522524356842
,0,1,0,1,0,0,0,-2.83981490135193
,0,1,0,0,0,0,0,0.831522524356842
,0,1,1,0,0,0,0,0.302555799484253
,0,1,1,0,0,0,0,-1.00414621829987
,0,1,1,0,0,0,0,0.505383968353271
,0,1,0,1,0,0,0,0.831522524356842
,0,1,0,1,0,0,0,0.0425782091915607
,0,1,1,0,0,0,0,0.831522524356842
,0,1,0,0,0,0,0,0.505383968353271
,0,1,1,0,0,0,0,-1.00414621829987
,0,1,1,0,0,0,0,0.437050342559814
,0,1,0,1,0,0,0,0.831522524356842
,0,1,1,0,0,0,0,0.831522524356842
,0,1,0,0,0,0,0,-0.0919163599610329
,0,1,1,0,0,0,0,0.831522524356842
