"id","finisheddate","party","elected","occupation","foreclosure_problem","republican","democrat","election_partisan","treatment_republican","treatment_democrat","matched_party","diffussion_interested","formofgovernment","townmeetingbasedpolicy"
"R_erJbiMvCkaVEenH","8/9/12 20:04",1,2,2,1,1,0,0,0,1,0,1,,
"R_etlxEWHaldji7M9","9/15/12 14:51",2,2,2,1,0,1,0,1,0,0,1,5,0
"R_3IBFGAIfkhQa9vf","8/7/12 17:28",,-99,-99,,,,,,,,,4,0
"R_e40vIwNVsD2FTff","8/6/12 10:43",2,2,2,0,0,1,0,1,0,0,0,4,0
"R_7QImUcuGhOfzGex","8/6/12 14:59",3,2,2,0,0,0,0,1,0,,0,5,0
"R_d0byivQOmtZTIdT","8/6/12 20:54",3,2,2,1,0,0,0,0,1,,1,4,0
"R_eP55pwbRYfYfGqF","8/27/12 16:40",5,2,1,1,0,0,0,1,0,,1,4,0
"R_3aR01Fo9VLJECNv","8/14/12 10:58",2,3,2,1,0,1,1,0,1,1,1,5,1
"R_8Id2WLtbVulCfaZ","8/7/12 8:29",3,2,1,0,0,0,0,0,1,,1,5,0
"R_3sEMd6jd1B2QTDn","8/14/12 12:20",2,3,2,1,0,1,1,1,0,0,1,,
"R_0pstFEjW3f5VxgV","8/6/12 9:41",2,3,2,0,0,1,1,0,1,1,1,,
"R_bp7YxliybtKmTsh","8/27/12 14:57",1,3,2,0,1,0,1,1,0,1,0,,
"R_0UOAF1jlkpqjG3X","8/7/12 21:34",1,2,1,0,1,0,0,0,1,0,0,,
"R_1Of2tKbzGdDJK3H","8/6/12 12:51",1,3,2,0,1,0,1,0,1,0,0,7,1
"R_08QhIWCcwwdFp0p","8/6/12 15:20",3,2,2,1,0,0,0,1,0,,1,4,0
"R_9Mr4jk1Nr18HGcJ","8/6/12 13:14",1,2,2,1,1,0,0,0,1,0,1,5,0
"R_6Du7fLmHrrO52O9","8/6/12 12:22",,-99,-99,,,,,,,,,4,0
"R_8eUVOZMDcjbg8aF","8/15/12 22:58",1,3,2,1,1,0,1,1,0,1,1,7,1
"R_0lEx3XCQsSFaOEd","8/24/12 23:14",2,2,1,1,0,1,0,1,0,0,0,4,0
"R_8v2H8wHwi9D0FiR","8/6/12 12:06",2,2,2,0,0,1,0,1,0,0,0,5,0
"R_eyN8znJ6jTWSLHf","8/7/12 8:15",1,2,2,0,1,0,0,0,1,0,0,4,0
"R_eVx4pGFyYkc8lE1","8/8/12 20:46",1,2,2,1,1,0,0,1,0,1,0,4,
"R_5cM4eXyRqsFykId","8/27/12 20:02",2,2,1,1,0,1,0,0,1,1,0,5,0
"R_6RmHg1WCKABvhL7","8/25/12 14:33",,,,,,,,,,,,4,0
"R_bPCzb3QakvvxajX","8/6/12 9:22",2,2,2,0,0,1,0,1,0,0,0,4,0
"R_1NA7oj7KkMoTR1H","8/6/12 10:43",1,3,2,1,1,0,1,1,0,1,1,5,0
"R_4GBPPICjUVLv2HX","8/16/12 12:55",3,2,1,1,0,0,0,0,1,,0,4,0
"R_d4OPDRf2C6rKgnP","8/6/12 9:49",3,2,2,1,0,0,0,0,1,,1,4,0
"R_bO9gkA657vOReAZ","8/6/12 10:30",3,2,1,1,0,0,0,1,0,,0,5,0
"R_3PpSgVReRVvNqJL","8/24/12 18:00",2,3,2,0,0,1,1,1,0,0,0,4,0
"R_bmAXo9EhuTTXwnX","8/24/12 12:36",3,2,2,0,0,0,0,1,0,,0,5,0
"R_1ZJz8WZ9KRCbGoB","8/24/12 17:58",3,2,1,1,0,0,0,1,0,,1,5,0
"R_0TB6nqhb96d8Njn","8/7/12 13:54",3,,,,0,0,,,,,,5,0
"R_8c6zLVEPh25BmoR","8/29/12 16:38",1,2,2,0,1,0,0,1,0,1,1,5,0
"R_07mUFAKqy7SQTQN","8/24/12 16:38",1,-99,-99,,1,0,,0,1,0,,4,0
"R_a448Mx8fMXohGKx","8/24/12 13:31",3,1,1,1,0,0,,1,0,,1,4,0
"R_0uLCBzApFxfDudf","8/14/12 10:10",3,3,2,0,0,0,1,0,1,,0,4,0
"R_9FbIXacuJHTCsTz","8/19/12 8:48",3,2,2,0,0,0,0,1,0,,1,7,1
"R_d40vjnD1j0wvrSZ","8/7/12 15:09",2,2,2,0,0,1,0,0,1,1,1,5,0
"R_9GKlRcLTBUE6SFL","8/22/12 20:59",2,3,2,1,0,1,1,0,1,1,1,4,0
"R_8w8hCnRIQ50DwKV","8/6/12 12:21",2,2,2,1,0,1,0,1,0,0,1,,
