"poli_time","Dnfc","lib","con","libshow","conshow","proatt","counteratt","choice","forcedmod","control","foxunbal","msnbcunbal","mstreamunbal","deependivide","extremevoice","resist_op","mip_taxIneq"
,1,1,0,0,0,0,0,0,0,1,2,2,2,6,5,4.66666650772095,0
,1,0,1,0,0,0,0,1,0,0,3,2,2,7,6,4.66666650772095,0
125,0,0,1,0,0,0,0,1,0,0,3,3,3,3,5,4,0
,0,0,1,1,0,0,1,0,0,0,2,3,2,1,7,1,1
,1,0,0,1,0,0,0,0,1,0,1,1,4,3,7,2.33333325386047,0
310,1,0,0,0,0,0,0,1,0,0,3,3,3,7,6,3,0
327,0,0,1,0,0,0,0,1,0,0,1,1,3,7,4,2,0
,1,0,0,0,1,0,0,0,1,0,1,2,2,1,4,2,0
,0,1,0,0,1,0,1,0,0,0,2,2,1,5,5,2.33333325386047,0
399,1,0,1,0,0,0,0,1,0,0,2,1,1,7,4,1,0
348,1,0,0,0,0,0,0,1,0,0,3,2,2,6,4,1,0
419,1,0,1,0,0,0,0,1,0,0,1,4,4,6,3,6.33333349227905,0
30,0,0,1,0,0,0,0,1,0,0,3,2,2,6,5,1,0
,0,1,0,0,1,0,1,0,0,0,3,2,3,7,4,1.33333337306976,0
,1,0,0,1,0,0,0,0,1,0,2,2,2,3,4,1,0
0,0,0,1,0,0,0,0,1,0,0,2,3,2,2,6,1.66666662693024,0
,0,1,0,1,0,1,0,0,0,0,2,2,2,4,3,3,1
,1,1,0,0,1,0,1,0,0,0,3,3,2,5,2,5,0
368,1,1,0,0,0,0,0,1,0,0,3,3,3,7,4,5.33333349227905,0
,1,1,0,1,0,1,0,0,0,0,3,2,2,6,5,6,0
42,0,0,0,0,0,0,0,1,0,0,2,2,2,3,2,1.33333337306976,0
,0,1,0,0,0,0,0,0,0,1,1,1,1,5,4,2.33333325386047,0
,1,1,0,0,0,0,0,0,0,1,2,2,2,7,7,1.33333337306976,0
,0,1,0,1,0,1,0,0,0,0,2,2,2,4,6,3.66666674613953,0
,1,0,0,1,0,0,0,0,1,0,2,2,3,5,5,4,0
,1,0,1,0,0,0,0,0,0,1,3,2,2,2,3,1,0
,0,1,0,0,0,0,0,0,0,1,3,3,1,5,5,1.66666662693024,0
,0,0,1,0,1,1,0,0,0,0,2,2,2,6,7,1,0
,0,0,0,1,0,0,0,0,1,0,3,3,3,4,1,2,1
373,1,0,0,0,0,0,0,1,0,0,2,2,2,7,7,1,0
339,1,0,1,0,0,0,0,1,0,0,3,3,3,5,5,5,1
393,1,0,1,0,0,0,0,1,0,0,1,2,2,2,7,1.66666662693024,0
,0,0,1,0,0,0,0,0,0,1,2,3,2,4,7,1,0
,0,1,0,0,1,0,1,0,0,0,2,3,3,2,4,4.66666650772095,0
,1,0,1,0,0,0,0,0,0,1,2,4,3,5,5,5,0
406,1,0,0,0,0,0,0,1,0,0,2,2,2,7,7,1,0
,1,0,0,0,1,0,0,0,1,0,2,2,1,4,7,1,0
330,0,1,0,0,0,0,0,1,0,0,4,1,2,6,7,2,0
,1,1,0,0,0,0,0,0,0,1,3,3,3,5,3,2.66666674613953,0
,0,0,1,1,0,0,1,0,0,0,2,4,3,6,6,3.66666674613953,0
11,0,0,0,0,0,0,0,1,0,0,1,2,1,3,4,1,0
,1,0,0,0,1,0,0,0,1,0,3,2,3,7,6,1.33333337306976,0
,1,1,0,0,0,0,0,0,0,1,3,2,2,5,5,4.66666650772095,0
349,1,1,0,0,0,0,0,1,0,0,3,3,3,5,5,5.33333349227905,1
,0,1,0,0,1,0,1,0,0,0,2,2,2,6,4,5,0
28,1,0,0,0,0,0,0,1,0,0,3,2,1,5,5,1.66666662693024,1
,1,1,0,1,0,1,0,0,0,0,3,2,2,6,5,2.33333325386047,1
