"","year","demloc","reploc","bp_hi_demloc","bp_hi_reploc","vdist_demloc","vdist_reploc","vd_bp_hi_demloc","vd_bp_hi_reploc"
"(Intercept)",1972,-1.63884007029882,0.907939189189217,-1.85538051766401,0.943710815924598,-1.78516181645889,0.76161744302915,-2.00170226382407,0.797389069764531
"y76",1976,-0.880272688538658,0.969557964970862,-0.897119979393871,0.998812368283248,-1.1566038195142,0.693226833995325,-1.17345111036941,0.722481237307711
"y80",1980,-0.365296803653076,1.36157337367635,-0.332180873065415,1.57422887281297,-0.691972980543207,1.03489719678622,-0.658857049955546,1.24755269592284
"y84",1984,-0.676424050633014,1.1482059282372,-1.04424140355585,1.59184198561593,-0.947929426977119,0.876700551893092,-1.31574677989996,1.32033660927182
"y88",1988,-0.961802154750278,1.26806083650196,-1.10782606475936,1.45421752290947,-1.41143870719057,0.818424284061667,-1.55746261719965,1.00458097046918
"y92",1992,-0.920267702107584,1.18755986146695,-0.978098589194097,1.363129815653,-1.11544401803484,0.992383545539694,-1.17327490512136,1.16795349972574
"y96",1996,-0.946805636040337,1.15573992804529,-1.12468682141616,1.41678699450738,-1.38814871414994,0.714396849935685,-1.56602989952576,0.975443916397773
"y00",2000,-0.912258855991311,1.08420178633667,-0.992227688884229,1.3315176018079,-1.23599481755579,0.760465824772187,-1.31596365044871,1.00778164024342
"y04",2004,-1.17748213621406,1.27493731107699,-1.24299357107187,1.7419749381256,-1.56647772551758,0.885941721773468,-1.63198916037539,1.35297934882208
"y08",2008,-1.25558457730533,1.131945838695,-1.5587596821012,1.32075664425555,-1.49688294710634,0.890647468894001,-1.80005805190221,1.07945827445455
"y12",2012,-1.41202244329208,1.35309921818328,-1.54366389737011,1.46300324423187,-1.71410343406134,1.05101822741402,-1.84574488813937,1.16092225346261
