"name","removed","time","time_edit","time_removed","time_alive","round","state","class","party","lengthofincumbency","leadership","committeechair","pagechar","population","region","locked","block","treatment_pre_order","influence","republican","term","living","treat_final","treatment_post_order"
"Harry Reid","20:07, 6 November 2014","11:23, 6 November 2014",11/6/2014 11:22:16,11/6/2014 20:06:33,31457280,5,"Nevada",3,"Democratic",1987,"Majority Leader",,279208,2700551,"W",0,5,50,1,0,,,4,37
"Heidi Heitkamp","20:26, 6 November 2014","18:16, 6 November 2014",11/6/2014 18:15:09,11/6/2014 20:26:13,7864320,5,"North Dakota",1,"Democratic",2013,,,160521,672591,"MW",0,14,47,0,0,,,2,32
"Jack Reed","20:05, 6 November 2014","18:25, 6 November 2014",11/6/2014 18:26:04,11/6/2014 20:04:22,5898240,5,"Rhode Island",2,"Democratic",1997,,,26686,1052567,"NE",0,4,17,0,0,,,4,38
"Jay Rockefeller","23:29, 6 November 2014","18:39, 6 November 2014",11/6/2014 18:39:10,11/6/2014 23:29:43,17432576,5,"West Virginia",2,"Democratic",1985,,"Chair - Commerce, Science & Transporation",246790,1852994,"S",0,18,88,1,0,,,3,44
"Jeanne Shaheen","13:35, 7 November 2014","16:15, 6 November 2014",11/6/2014 16:15:00,11/7/2014 13:35:08,76808192,5,"New Hampshire",2,"Democratic",2009,,,189844,1316470,"NE",0,11,9,0,0,,,1,4
"Jeff Flake","13:42, 7 November 2014","05:36, 7 November 2014",11/7/2014 05:36:43,11/7/2014 13:41:41,29097984,5,"Arizona",1,"Republican",2013,,,191709,6392017,"W",0,12,19,0,1,,,3,63
"Jeff Merkley","13:49, 7 November 2014","18:11, 6 November 2014",11/6/2014 18:10:46,11/7/2014 13:48:14,70647808,5,"Oregon",2,"Democratic",2009,,,232469,3831074,"W",0,3,60,0,0,,,1,29
"Jeff Sessions","20:49, 6 November 2014","16:35, 6 November 2014",11/6/2014 16:34:39,11/6/2014 20:48:04,15204352,5,"Alabama",2,"Republican",1997,,"Ranking - Budget",212158,4779736,"S",0,20,75,1,1,,,1,12
"Jerry Moran","17:51, 10 November 2014","17:39, 7 November 2014",11/7/2014 17:39:48,11/10/2014 17:51:44,259915776,5,"Kansas",3,"Republican",2011,"NRSC Chair",,156071,2853118,"MW",0,9,91,1,1,,,3,96
"Jim Inhofe","NO","08:51, 6 November 2014",11/6/2014 08:51:32,,,5,"Oklahoma",2,"Republican",1994,,"Ranking - Armed Services",279401,3751351,"S",1,25,43,1,1,,,2,19
