"mip_oneword","lib","con","acbo_over","acbo_iraq","acbo_health","acbo_terror","acbo_immig","acbo_econ","proatt","counteratt","choice","acbo_av5","forcedmod","poli_time","carehc","orielly","olbermann","mip_econ","control","acbo_av6"
"economy",1,0,3,3,3,4,2,4,0,0,1,3.20000004768372,0,922.567016601563,2,0,0,1,0,3.16666698455811
"economy",0,0,1,4,4,4,3,4,0,0,1,3.79999995231628,0,921.033020019531,0,0,0,1,0,3.33333301544189
"health care",1,0,4,4,4,4,4,4,1,0,0,4,0,,3,0,1,0,0,4
"economy",0,0,1,3,3,4,4,4,0,0,1,3.59999990463257,0,,3,0,0,1,0,3.5
"immigration",1,0,3,3,3,3,2,2,1,0,0,2.59999990463257,0,579.5,2,0,1,0,0,2.66666698455811
"economy",0,1,1,4,4,4,4,3,0,0,1,3.79999995231628,0,361.483001708984,1,0,0,1,0,3.66666698455811
"economy",0,1,4,4,4,4,4,4,0,0,1,4,0,49.0670013427734,3,0,0,1,0,4
"economy",1,0,3,2,2,3,2,3,0,0,0,2.40000009536743,0,,2,0,0,1,1,2.5
"economy",0,1,4,4,4,4,4,1,0,1,0,3.40000009536743,0,,1,0,1,1,0,3.5
"war",1,0,3,4,3,3,2,2,0,1,0,2.79999995231628,0,,3,1,0,0,0,2.83333301544189
"economy",0,1,1,3,3,3,3,3,0,1,0,3,0,,2,0,1,1,0,3
"economy",1,0,4,3,3,3,3,2,1,0,0,2.79999995231628,0,,3,0,1,1,0,3
"economy",0,0,4,4,4,4,4,4,0,0,1,4,0,601.967041015625,2,0,0,1,0,4
"health care",1,0,3,3,3,3,3,3,0,0,1,3,0,541.166015625,0,0,0,0,0,3
"health care",1,0,3,4,3,1,2,2,0,0,1,2.40000009536743,0,897.150024414063,3,0,0,0,0,2.5
"economy",1,0,3,3,3,4,3,3,1,0,0,3.20000004768372,0,,3,0,1,1,0,3.16666698455811
"economy",1,0,3,3,3,2,3,3,0,0,0,2.79999995231628,0,,1,0,0,1,1,2.83333301544189
"economy",1,0,2,3,3,3,3,2,0,0,1,2.79999995231628,0,152.567001342773,1,0,0,1,0,2.66666698455811
"politics",1,0,3,3,3,4,4,4,0,0,1,3.59999990463257,0,0,3,0,0,0,0,3.5
"economy",1,0,4,3,3,2,1,4,0,1,0,2.59999990463257,0,,2,1,0,1,0,2.83333301544189
"economy",0,1,4,1,4,4,4,3,0,1,0,3.20000004768372,0,,3,0,1,1,0,3.33333301544189
"economy",1,0,3,2,2,4,3,1,0,0,1,2.40000009536743,0,868.216003417969,3,0,0,1,0,2.5
"economy",1,0,3,3,3,3,3,3,1,0,0,3,0,,1,0,1,1,0,3
"economy",1,0,4,1,1,1,3,1,0,0,0,1.39999997615814,0,,0,0,0,1,1,1.83333301544189
"immigration",0,1,4,3,3,4,3,4,0,0,1,3.40000009536743,0,884.134033203125,2,0,0,0,0,3.5
"economy",0,0,4,4,4,3,3,4,0,0,0,3.59999990463257,0,,2,0,0,1,1,3.66666698455811
"education",1,0,2,3,3,4,3,2,1,0,0,3,0,,2,0,1,0,0,2.83333301544189
"economy",1,0,4,4,4,4,3,4,0,0,1,3.79999995231628,0,457.600006103516,3,0,0,1,0,3.83333301544189
"health care",0,1,4,4,4,3,4,1,0,1,0,3.20000004768372,0,,3,0,1,0,0,3.33333301544189
"economy",0,1,1,4,4,4,3,3,0,0,0,3.59999990463257,0,,2,0,0,1,1,3.5
"economy",1,0,3,3,3,2,3,2,0,0,1,2.59999990463257,0,106.216995239258,1,0,0,1,0,2.66666698455811
"health care",1,0,4,3,3,4,3,4,0,0,1,3.40000009536743,0,944.983032226563,3,0,0,0,0,3.5
"economy",0,1,4,3,3,3,4,3,1,0,0,3.20000004768372,0,,2,1,0,1,0,3.33333301544189
"economy",0,1,4,4,4,4,4,3,0,0,1,3.79999995231628,0,879.766967773438,1,0,0,1,0,3.83333301544189
"economy",1,0,3,1,1,3,3,3,1,0,0,2.20000004768372,0,,3,0,1,1,0,2.33333301544189
"economy",0,1,4,3,3,4,4,4,0,0,0,3.59999990463257,0,,1,0,0,1,1,3.66666698455811
"economy",0,1,1,4,4,1,1,4,0,0,0,2.79999995231628,0,,1,0,0,1,1,2.83333301544189
"economy",0,0,1,3,3,4,3,3,0,0,1,3.20000004768372,0,179.4169921875,1,0,0,1,0,3.16666698455811
"economy",1,0,3,3,3,3,3,2,0,0,1,2.79999995231628,0,,3,0,0,1,0,2.83333301544189
"economy",1,0,3,3,3,3,3,2,1,0,0,2.79999995231628,0,,1,0,1,1,0,2.83333301544189
"economy",1,0,3,2,2,2,2,3,0,0,1,2.20000004768372,0,164.25,1,0,0,1,0,2.33333301544189
"economy",1,0,4,3,3,4,2,3,1,0,0,3,0,,3,0,1,1,0,3.16666698455811
"immigration",0,1,1,3,3,4,3,4,0,0,0,3.40000009536743,0,,2,0,0,0,1,3.33333301544189
"economy",0,1,4,4,4,4,4,4,1,0,0,4,0,,3,1,0,1,0,4
"politics",1,0,3,3,3,2,1,2,0,0,1,2.20000004768372,0,57.7000007629395,0,0,0,0,0,2.33333301544189
"education",1,0,3,2,2,3,2,3,1,0,0,2.40000009536743,0,,3,0,1,0,0,2.5
"economy",0,0,4,4,4,4,4,3,0,0,1,3.79999995231628,0,223.865997314453,2,0,0,1,0,3.83333301544189
"economy",0,1,4,3,3,4,3,4,0,1,0,3.40000009536743,0,,3,0,1,1,0,3.5
"health care",1,0,3,2,2,3,3,3,0,0,1,2.59999990463257,0,35.2669982910156,3,0,0,0,0,2.66666698455811
"economy",1,0,3,3,3,3,3,3,0,1,0,3,0,,1,1,0,1,0,3
"economy",1,0,2,2,2,2,3,2,0,1,0,2.20000004768372,0,,3,1,0,1,0,2.16666698455811
"economy",1,0,3,3,3,3,2,3,0,0,1,2.79999995231628,0,16.1830005645752,0,0,0,1,0,2.83333301544189
"economy",0,0,1,4,4,4,3,3,0,0,1,3.59999990463257,0,10.5329999923706,2,0,0,1,0,3.16666698455811
"politics",1,0,4,3,4,4,3,4,1,0,0,3.59999990463257,0,,3,0,1,0,0,3.66666698455811
"economy",1,0,3,3,3,1,2,2,0,1,0,2.20000004768372,0,,2,1,0,1,0,2.33333301544189
"economy",1,0,3,2,2,3,3,3,0,0,1,2.59999990463257,0,2.79999995231628,2,0,0,1,0,2.66666698455811
"war",0,1,4,4,4,4,3,4,0,0,1,3.79999995231628,0,839.066650390625,2,0,0,0,0,3.83333301544189
"economy",1,0,4,3,4,4,4,4,0,1,0,3.79999995231628,0,,3,1,0,1,0,3.83333301544189
"economy",0,0,4,4,4,4,4,4,0,0,1,4,0,188.8330078125,2,0,0,1,0,4
"politics",1,0,4,3,3,4,3,3,0,0,0,3.20000004768372,0,,1,0,0,0,1,3.33333301544189
"economy",1,0,3,3,3,3,3,2,1,0,0,2.79999995231628,0,,1,0,1,1,0,2.83333301544189
"economy",0,0,4,4,4,3,3,4,0,0,0,3.59999990463257,0,,3,0,0,1,1,3.66666698455811
"economy",0,1,1,4,4,4,4,4,0,0,1,4,0,826.615966796875,2,0,0,1,0,3.83333301544189
"economy",0,0,1,4,4,3,4,4,0,0,0,3.79999995231628,1,,0,1,0,1,0,3.66666698455811
"health care",1,0,3,3,3,3,3,3,1,0,0,3,0,,3,0,1,0,0,3
"economy",1,0,3,4,4,4,3,3,0,0,1,3.59999990463257,0,12.5170001983643,3,0,0,1,0,3.5
"politics",0,1,4,4,4,4,4,3,0,0,0,3.79999995231628,0,,1,0,0,0,1,3.83333301544189
"economy",1,0,3,3,3,2,3,3,0,1,0,2.79999995231628,0,,2,1,0,1,0,2.83333301544189
"economy",0,0,4,1,1,4,3,3,0,0,0,2.40000009536743,1,,2,0,1,1,0,2.66666698455811
"education",0,0,4,4,4,4,4,4,0,0,0,4,1,,1,0,1,0,0,4
"politics",1,0,3,3,3,2,3,2,0,0,0,2.59999990463257,0,,2,0,0,0,1,2.66666698455811
"health care",1,0,3,1,1,2,2,3,0,0,1,1.79999995231628,0,0,2,0,0,0,0,2
"economy",1,0,3,2,3,4,3,3,0,0,1,3,0,153.716995239258,2,0,0,1,0,3
"economy",1,0,3,3,3,2,3,3,0,0,1,2.79999995231628,0,381.5830078125,2,0,0,1,0,2.83333301544189
"politics",1,0,1,1,1,2,1,1,0,0,0,1.20000004768372,0,,3,0,0,0,1,1.16666698455811
