"month2","date2","year2","month1","date1","year1","group","famdiff","nycdirec","priority","votch1","othvotch1","votchst1","prompt","watchdpr","watchjlpr","party","partyoth","mob","yob","grade","race","raceoth","bestdate","besttime","gender","watchdps1","watchjlps","balance","watchdps2","watchdchk","informative","effective","won1","won2","ferrop","bloomop","knowledge","bloomsc","ferrsc","terror","housing","group2","vote","votch2","othvotch2","dosi","dofi","watch","age","coll","white","black","female","watchdps","modrace","modgen","modracgen","won","boroname","notperf","votem2005","votem2001","votem1997"
11,2,2005,10,28,2005,1,3,1,4,6,,,1,1,,1,,2,1936,4,2,,1103,2130,2,2,,,,,,,1,,3,3,1,90,40,1,2,1,1,6,,11/2/2005,10/28/2005,1,69.7863006591797,1,0,1,1,0,,,,1,"QUEENS",0,1,1,1
11,1,2005,10,29,2005,4,1,1,7,,,,,,1,1,,2,1927,2,1,,1101,2000,2,,2,,2,,,,3,,3,1,1,50,50,1,1,1,1,2,,11/1/2005,10/29/2005,0,78.7945175170898,0,1,0,1,0,,,,3,"QUEENS",1,1,1,1
11,3,2005,10,29,2005,2,2,1,5,,,,1,1,,1,,6,1937,3,1,,1101,2130,2,2,,,,,,,1,,3,1,1,90,70,1,1,2,,,,11/3/2005,10/29/2005,1,68.4575347900391,0,1,0,1,0,,,,1,"QUEENS",0,1,1,1
11,2,2005,10,28,2005,4,2,1,1,,,,,,2,1,,7,1943,4,1,,1102,1000,2,,2,,2,,,,1,,3,3,1,75,50,1,1,2,,,,11/2/2005,10/28/2005,0,62.3698616027832,1,1,0,1,0,,,,1,"QUEENS",1,1,1,1
11,3,2005,10,31,2005,3,3,1,1,1,,2,,,2,1,,6,1950,5,1,,1104,1800,2,,2,,1,13,2,3,1,,3,1,3,70,60,3,3,2,,,,11/3/2005,10/31/2005,0,55.4547958374023,1,1,0,1,1,0,0,0,1,"QUEENS",0,0,1,0
11,2,2005,10,28,2005,1,2,3,1,6,,,1,2,,1,,10,1940,5,2,,1102,1830,2,2,,,,,,,3,,2,3,3,70,65,1,2,1,1,6,,11/2/2005,10/28/2005,1,65.117805480957,1,0,1,1,0,,,,3,"QUEENS",0,1,1,1
11,1,2005,10,28,2005,4,2,1,4,,,,,,1,1,,9,1937,5,1,,1101,2000,2,,2,,1,1,2,1,,,3,3,1,95,25,1,1,1,1,2,,11/1/2005,10/28/2005,0,68.2027435302734,1,1,0,1,1,1,1,1,,"QUEENS",1,1,1,1
11,2,2005,10,31,2005,1,2,1,2,2,,2,1,1,,1,,4,1938,5,1,,1101,2000,2,1,,,,1,1,3,3,,3,3,3,,,3,3,2,,,,11/2/2005,10/31/2005,1,67.6301345825195,1,1,0,1,1,1,1,1,3,"QUEENS",0,1,1,1
11,2,2005,10,29,2005,4,3,1,1,,,,,,2,1,,5,1947,4,1,,1102,2000,1,,2,,2,,,,3,,3,3,3,85,45,1,2,1,1,2,,11/2/2005,10/29/2005,0,58.5369873046875,1,1,0,0,0,,,,3,"QUEENS",0,1,1,1
11,2,2005,10,30,2005,4,1,2,7,,,,,,3,1,,3,1930,4,1,,1102,1500,1,,2,,2,,,,3,,1,3,2,,95,2,2,1,1,1,,11/2/2005,10/30/2005,0,75.7178115844727,1,1,0,0,0,,,,3,"QUEENS",0,1,1,1
