"choice","lib","con","counteratt","proatt","forcedmod","hc_partyrating","hc_perseffect","publicoption","requireinsur","hctaxrich","carehc","poli_time","Dnfc","control","resist_op","hostilemedia","politrust"
1,0,1,0,0,0,3,0,2,2,2,2,188.799987792969,0,0,5,-1.86411333084106,3.66666674613953
0,1,0,0,0,0,6,0,4,5,4,2,,0,1,2,-1.86411333084106,3.77777767181396
1,0,1,0,0,0,3,-1,2,2,1,3,995.299987792969,1,0,2,-1.86411333084106,4
1,1,0,0,0,0,5,1,5,5,4,3,1001.60003662109,0,0,8.5,0.35918340086937,3.44444441795349
1,1,0,0,0,0,3,0,3,5,3,1,158.800003051758,0,0,3.5,0.35918340086937,3.88888883590698
0,1,0,1,0,0,5,1,6,6,1,3,,0,0,5.5,0.35918340086937,3.22222232818604
0,0,0,0,0,1,4,-1,2,6,1,2,,0,0,4.5,0.35918340086937,2.33333325386047
0,0,0,0,0,1,4,1,6,4,3,3,,1,0,2.5,0.35918340086937,2.22222232818604
0,1,0,1,0,0,5,0,6,5,6,3,,0,0,3.5,0.35918340086937,3.77777767181396
1,1,0,0,0,0,6,1,3,4,1,3,910.200012207031,1,0,3,0.35918340086937,2.22222232818604
0,1,0,0,1,0,6,0,5,6,6,3,,0,0,3,0.35918340086937,1.66666662693024
0,1,0,1,0,0,5,-1,6,6,4,3,,0,0,3,0.35918340086937,1.77777779102325
0,1,0,0,1,0,6,1,5,4,6,2,,1,0,2.5,0.35918340086937,2.88888883590698
1,1,0,0,0,0,5,0,5,4,4,2,1093.40002441406,0,0,2.5,0.35918340086937,4
0,0,1,0,0,0,5,1,4,5,6,2,,1,1,3,-1.86411333084106,4.33333349227905
1,1,0,0,0,0,4,1,5,6,5,2,1018.30004882813,1,0,2.5,0.35918340086937,3.55555558204651
0,1,0,0,1,0,6,1,6,3,5,3,,0,0,3,0.35918340086937,3.33333325386047
0,1,0,0,0,0,5,0,4,4,4,2,,1,1,3,0.35918340086937,1.77777779102325
1,1,0,0,0,0,6,1,6,2,4,2,971.700012207031,1,0,2.5,0.35918340086937,3.22222232818604
0,1,0,0,0,0,4,-1,4,4,6,2,,0,1,2,-1.86411333084106,2.88888883590698
1,0,1,0,0,0,1,-1,1,1,2,3,754.299987792969,0,0,5.5,0.35918340086937,2.88888883590698
0,1,0,0,0,0,5,-1,4,2,5,2,,1,1,3,-0.861554503440857,3.11111116409302
0,1,0,0,1,0,6,1,6,4,6,3,,0,0,3.5,0.35918340086937,3.11111116409302
1,0,1,0,0,0,3,1,4,4,4,3,0,1,0,1.5,0.35918340086937,3.66666674613953
0,1,0,0,0,0,4,1,5,5,5,3,,1,1,2,0.35918340086937,1.66666662693024
1,1,0,0,0,0,4,1,2,4,3,2,1034.5,1,0,3,0.35918340086937,3
1,1,0,0,0,0,5,0,6,6,6,2,934,1,0,3.5,-0.861554503440857,3.33333325386047
0,0,0,0,0,1,2,-1,1,2,5,1,,1,0,4.5,0.35918340086937,3.33333325386047
1,1,0,0,0,0,6,0,4,5,5,2,17,1,0,3,0.35918340086937,3.11111116409302
0,0,1,1,0,0,4,-1,1,1,6,2,,1,0,4,0.35918340086937,2.66666674613953
0,0,1,1,0,0,4,-1,5,5,5,2,,1,0,3,0.35918340086937,2.44444441795349
1,1,0,0,0,0,6,1,6,5,5,1,1052,1,0,2.5,0.35918340086937,3.77777767181396
0,0,0,0,0,0,2,0,2,3,1,0,,0,1,2.5,-1.86411333084106,4.77777767181396
